Address,info_a,info_b,price,size
"Torivoudinpolku 1 A, Oulunkylä, Helsinki","
				Kerrostalo, 1930
			","
				3 h, k, 2 x wc, khh, 2 x kh, s (Yj 2-3 h+k)
			","
444 000 €


","

444 000 €




97 m²



"
"Kalevankatu 44 A, Kamppi, Helsinki","
				Kerrostalo, 1948
			","
				2h+avok+alkovi+kph (yhtiöjärjestyksen mukaan 1h+k+alkovi)
			","
358 000 €


","

358 000 €




48 m²



"
"Johan Sederholmin tie 8 B, Herttoniemi, Helsinki","
				Kerrostalo, 1990
			","
				2h+kk+s
			","
204 000 €


","

204 000 €




47,5 m²



"
"Aarteenetsijänkuja 8 B, Vesala, Helsinki","
				Kerrostalo, 1988
			","
				Oh k, rt, 2mh, kph, s, las.parv
			","
145 000 €


","

145 000 €




68,5 m²



"
"Poutuntie 7 A, Pohjois-Haaga, Helsinki","
				Kerrostalo, 1954
			","
				2h+avok+kph+parveke (yhtiöjärjestyksen mukaan 2h+k)
			","
238 000 €


","

238 000 €




46,6 m²



"
"Priki Venuksen kuja 5 A, Sompasaari, Helsinki","
				Kerrostalo, 2019
			","
				3h+avok+lasitettu parveke+s
			","
370 000 €


","

370 000 €




67,5 m²



"
"Töölönkatu 52 A, Töölö, Helsinki","
				Kerrostalo, 1937
			","
				3h,kk,2x kph,parveke
			","
569 000 €


","

569 000 €




89 m²



"
"Kauppalantie 44 A, Etelä-Haaga, Helsinki","
				Kerrostalo, 1959
			","
				3h, k, kph + parveke
			","
350 000 €


","

350 000 €




67 m²



"
"Gustav Pauligin katu 8 A, Aurinkolahti, Helsinki","
				Kerrostalo, 2004
			","
				3 h + avok + s + kph + wc + vh + las.parveke
			","
347 000 €


","

347 000 €




73,5 m²



"
"Luuvaniementie 3, Niemenmäki, Helsinki","
				Kerrostalo, 1964
			","
				3h+k+kph+wc+kht+lasit. parv
			","
430 000 €


","

430 000 €




78 m²



"
"Saunalahdentie 13, Munkkiniemi, Helsinki","
				Kerrostalo, 1962
			","
				3h+k
			","
539 000 €


","

539 000 €




67 m²



"
"Mustankivenkatu 3, Vuosaari, Helsinki","
				Kerrostalo, 1999
			","
				3h, k, kph, s, wc, las.parveke
			","
249 000 €


","

249 000 €




73 m²



"
"Kotinummentie 4, Ylä-Malmi, Helsinki","
				Kerrostalo, 1983
			","
				3h, k, s, kph, erill wc, 2 vh, lasit.parveke, varasto
			","
175 000 €


","

175 000 €




85,5 m²



"
"Trumpettitie 8 f, Kannelmäki, Helsinki","
				Kerrostalo, 1978
			","
				3h,k,kph,vh,et, las.parveke
			","
145 000 €


","

145 000 €




74,5 m²



"
"Väinämöisenkatu 21 A, Etu-Töölö, Helsinki","
				Kerrostalo, 1935
			","
				2-3h, k, kph, vh, et
			","
482 000 €


","

482 000 €




62 m²



"
"Näyttelijäntie 4 A, Pohjois-Haaga, Helsinki","
				Kerrostalo, 1954
			","
				2h, avok, kph, ransk.parveke
			","
239 000 €


","

239 000 €




48 m²



"
"Pakilantie 8 B, Maunula, Helsinki","
				Kerrostalo, 1962
			","
				3h+k+kph+las.parv (yhtiöjärjestyksen mukaan 3h+k+kh+p)
			","
249 500 €


","

249 500 €




61,5 m²



"
"Kauriintie 3 C, Siltamäki, Helsinki","
				Kerrostalo, 1968
			","
				2h+k+kph+las.parv.
			","
162 000 €


","

162 000 €




62 m²



"
"Koirasaarentie 21 B, Kruunuvuorenranta, Helsinki","
				Kerrostalo, 2016
			","
				3h, avok, kph, s,lasitettu parveke
			","
260 000 €


","

260 000 €




60,5 m²



"
"Ratakatu 1, Punavuori, Helsinki","
				Kerrostalo, 1920
			","
				2h, k, kph
			","
529 000 €


","

529 000 €




54,5 m²



"
"Ouluntie 1 E, Vallila, Helsinki","
				Kerrostalo, 1925
			","
				2h, avok, wc, suihkutila (2 h+tpk+wc+sh)
			","
268 000 €


","

268 000 €




40 m²



"
"Urheilukatu 14 A, Taka-Töölö, Helsinki","
				Kerrostalo, 1938
			","
				3h+kk+kph+vh
			","
585 000 €


","

585 000 €




104 m²



"
"Gunnel Nymanin piha 2, Arabianranta, Helsinki","
				Kerrostalo, 2005
			","
				3h, k, s, kph, sauna, wc, lasitettu parveke
			","
550 000 €


","

550 000 €




95,5 m²



"
"Solvikinkatu 2, Aurinkolahti, Helsinki","
				Kerrostalo, 2001
			","
				2 h, avokeittiö, kph/sauna, lasitettu parveke
			","
217 000 €


","

217 000 €




45,5 m²



"
"Klaavuntie 7 E, Puotila, Helsinki","
				Kerrostalo, 1961
			","
				2h + K + vaatehuone + parveke
			","
149 000 €


","

149 000 €




48,5 m²



"
"Asiakkaankatu 2, Vartiokylä, Helsinki","
				Kerrostalo, 1977
			","
				2h + k + kph + p
			","
152 000 €


","

152 000 €




58,5 m²



"
"Opastinsilta 9 A, Itä-Pasila, Helsinki","
				Kerrostalo, 1977
			","
				3h+k+wc+kph+lasit.parveke
			","
295 000 €


","

295 000 €




72,5 m²



"
"Kinaporinkatu 3 A, Kallio, Helsinki","
				Kerrostalo, 1938
			","
				1-2h+avok+alkovi+kph (yhtiöjärjestyksen mukaan 2 h+kk+kph)
			","
248 000 €


","

248 000 €




43 m²



"
"Korppaanmäentie 16 B, Pikku-Huopalahti, Helsinki","
				Kerrostalo, 1992
			","
				3h+k
			","
375 000 €


","

375 000 €




75 m²



"
"Merikatu 9 A, Ullanlinna, Helsinki","
				Kerrostalo, 1908
			","
				2h + k
			","
895 000 €


","

895 000 €




77 m²



"
"Taidemaalarinkatu 16 A, Kuninkaantammi, Helsinki","
				Kerrostalo, 2019
			","
				2h,avok.,vh,kph,s ja lasitettu parveke (YJ:n mukaan 2h+kt+s)
			","
235 000 €


","

235 000 €




49 m²



"
"Punahilkantie 12, Roihuvuori, Helsinki","
				Kerrostalo, 1957
			","
				2h, avokeittiö, ruokailutila, kph, parveke ja ranskalainen parveke
			","
228 000 €


","

228 000 €




56,5 m²



"
"Fabianinkatu 13 C, Kaartinkaupunki, Helsinki","
				Kerrostalo, 1905
			","
				2h, avokeittiö ja kph
			","
745 000 €


","

745 000 €




85 m²



"
"Maaherrantie 34 A 07, Oulunkylä, Helsinki","
				Kerrostalo, 2023
			","
				3H+KT+S
			","
427 800 €


				Hoitovastike 311,8 €/kk
			
","

427 800 €


				Hoitovastike 311,8 €/kk
			


72,5 m²

				5 900,7 €/m²
			


2/7

				Kerros
			

"
"Saaristolaivastonkatu 2, Kruunuvuorenranta, Helsinki","
				Kerrostalo, 2019
			","
				3h + p
			","
499 000 €


","

499 000 €




85 m²



"
"Kontukuja 4, Kontula, Helsinki","
				Kerrostalo, 1970
			","
				2h, k, kph, p
			","
115 000 €


","

115 000 €




59 m²



"
"Merimiehenkatu 31 C, Punavuori, Helsinki","
				Kerrostalo, 1938
			","
				3h, k, sauna
			","
890 000 €


","

890 000 €




94 m²



"
"Mannerheimintie 92 B, Taka-Töölö, Helsinki","
				Kerrostalo, 1930
			","
				2h
			","
238 000 €


","

238 000 €




45 m²



"
"Rajatie 2, Tapaninkylä, Helsinki","
				Kerrostalo, 2009
			","
				3h+k+s
			","
47 556 €


","

47 556 €




78,5 m²



"
"Haapatie 11, Tapaninvainio, Helsinki","
				Rivitalo, 1987
			","
				2h, avok, pesuhuone, löylyhuone
			","
218 000 €


","

218 000 €




52 m²



"
"Poutuntie 14, Haaga, Helsinki","
				Kerrostalo, 2011
			","
				3h+k+s
			","
41 782 €


","

41 782 €




77,5 m²



"
"Takomotie 14 B, Pitäjänmäki, Helsinki","
				Kerrostalo, 2005
			","
				2h,avok, kph,las.p (yj. 2h+kk)
			","
227 500 €


","

227 500 €




42 m²



"
"Pohjoinen Hesperiankatu 37 C, Taka-Töölö, Helsinki","
				Kerrostalo, 1954
			","
				3H+K+KPH+PARVEKE
			","
560 000 €


","

560 000 €




63 m²



"
"Riukutie 5, Konala, Helsinki","
				Rivitalo, 1979
			","
				3h + k + s + p
			","
238 000 €


","

238 000 €




74,5 m²



"
"Mikael Soinisen tie 3 B, Pukinmäki, Helsinki","
				Rivitalo, 1986
			","
				3h+k+kph+s+kph/wc+erill.wc+parveke, terassi ja autokatos
			","
254 000 €


","

254 000 €




79,5 m²



"
"Mäkelänkatu 4 d, Vallila, Helsinki","
				Kerrostalo, 1950
			","
				2h, avok, kph
			","
228 000 €


","

228 000 €




44 m²



"
"Haagan urheilutie 9, Etelä-Haaga, Helsinki","
				Kerrostalo, 1959
			","
				2h, avok, kph, rt ja lasitettu parveke
			","
248 000 €


","

248 000 €




45 m²



"
"Iiluodontie 9 As, Aurinkolahti, Helsinki","
				Kerrostalo, 2006
			","
				2h+k+s
			","
368 000 €


","

368 000 €




63,5 m²



"
"Katajaharjuntie 2-4 A 59, Lauttasaari, Helsinki","
				Kerrostalo, 1963
			","
				3h, avok, kph, vh, 2 lasit. parv.
			","
662 000 €


","

662 000 €




67 m²



"
"Vanhaistentie 4, Kannelmäki, Helsinki","
				Kerrostalo, 1960
			","
				2h, kk, kph, vh ja lasitettu parveke
			","
148 000 €


","

148 000 €




48,1 m²



"
"Johtokivenkuja 4 C, Malmi, Helsinki","
				Kerrostalo, 1969
			","
				3h,k,kph,erill.wc,vh,et,las.parv.
			","
247 000 €


","

247 000 €




63 m²



"
"Lauttasaarentie 52 B, Lauttasaari, Helsinki","
				Kerrostalo, 2017
			","
				2h, avok, kph, vh, piha
			","
346 900 €


","

346 900 €




45 m²



"
"Aleksis Kiven katu 43 B, Konepaja, Helsinki","
				Kerrostalo, 2016
			","
				2h, avok, kph, s, p
			","
371 900 €


","

371 900 €




48,5 m²



"
"Fallkullantie 8 B, Tapanila, Helsinki","
				Kerrostalo, 1989
			","
				3h+k+s 
			","
209 000 €


","

209 000 €




70,5 m²



"
"Kottaraistie 5, Tapaninkylä, Helsinki","
				Rivitalo, 1980
			","
				2h + avok + kph + s + piha
			","
239 000 €


","

239 000 €




60 m²



"
"Taidemaalarinkatu 4 A 4, Kuninkaantammi, Helsinki","
				Kerrostalo
			","
				2 h + kt
			","
23 094 €


","

23 094 €




39 m²



"
"Verkkoneula 5 C 59, Kalasatama, Helsinki","
				Kerrostalo, 2024
			","
				3h + kt
			","
51 416 €


","

51 416 €




65,5 m²



"
"Orapihlajatie 20 A 19, Haaga, Helsinki","
				Kerrostalo, 2023
			","
				2h+kt+s
			","
339 200 €


","

339 200 €




46 m²



"
"Myllypellonpolku 4, Veräjälaakso, Helsinki","
				Kerrostalo, 1998
			","
				2h+kk+kph+s+parv.
			","
217 000 €


","

217 000 €




54 m²



"
"Näyttelijäntie 16, Pohjois-Haaga, Helsinki","
				Kerrostalo, 1957
			","
				2h, kk, kph, vh
			","
168 000 €


","

168 000 €




43,5 m²



"
"Mätästie 3, Suurmetsä, Helsinki","
				Kerrostalo, 1973
			","
				3h + p
			","

Kysy hintaa

","


Kysy hintaa



63 m²



"
"Neljäs linja 14 C, Kallio, Helsinki","
				Kerrostalo, 1928
			","
				2-3h+k+kph+wc
			","
232 000 €


","

232 000 €




41 m²



"
"Ruususenrinne 2 D, Roihuvuori, Helsinki","
				Kerrostalo, 2020
			","
				3h,k,s,lasitettu parveke
			","
315 000 €


","

315 000 €




69 m²



"
"Fleminginkatu 21a A, Kallio, Helsinki","
				Kerrostalo, 1937
			","
				2h+kk
			","
299 000 €


","

299 000 €




50,5 m²



"
"Hiomotie 18 A 28, Pitäjänmäki, Helsinki","
				Kerrostalo, 1998
			","
				3H+K+S
			","
27 118 €


","

27 118 €




75 m²



"
"Laurinniityntie 13, Haaga, Helsinki","
				Kerrostalo, 1989
			","
				2h + k + s + kattoterassi
			","
248 000 €


","

248 000 €




57,5 m²



"
"Ruonasalmentie 17 F 45, Tammisalo, Helsinki","
				Rivitalo, 2025
			","
				3h,  k,  kph,  s,  wc,  var,  terassi
			","
445 817 €


","

445 817 €




76,5 m²



"
"Verkkosaarenranta 2 A 5, Kalasatama, Helsinki","
				Kerrostalo, 2025
			","
				3h + avok + p
			","
487 399 €


","

487 399 €




67 m²



"
"Verkkosaarenranta 2 A 11, Kalasatama, Helsinki","
				Kerrostalo, 2025
			","
				2h + avok + p
			","
338 350 €


","

338 350 €




45 m²



"
"Tilkankatu 14 B, Pikku-Huopalahti, Helsinki","
				Kerrostalo, 2005
			","
				2h, avokeittiö, sauna, kph, vh
			","
279 000 €


","

279 000 €




45,5 m²



"
"Mesenaatinkuja 2 A, Munkkivuori, Helsinki","
				Kerrostalo, 1995
			","
				3h, k, kph, erill.wc, khh, lasit.p, s.
			","
310 000 €


","

310 000 €




78,5 m²



"
"Alppikylänkuja 8, Suurmetsä, Helsinki","
				Kerrostalo, 2014
			","
				3h+kt+s
			","
49 741 €


","

49 741 €




68,5 m²



"
"Kotikonnuntie 9 D, Kontula, Helsinki","
				Kerrostalo, 1966
			","
				3h, k, kph, vh, lasitettu parveke
			","
169 000 €


","

169 000 €




75 m²



"
"Sibeliuksenkatu 11 B, Taka-Töölö, Helsinki","
				Kerrostalo, 1929
			","
				2h, avokeittiö, kph, parveke
			","
368 000 €


","

368 000 €




53 m²



"
"Rastilantie 2 D, Vuosaari, Helsinki","
				Kerrostalo, 1972
			","
				2 h, k, kh/wc, p (Yj. 2 h+k)
			","
168 000 €


","

168 000 €




57 m²



"
"Mätästie 3 S, Suurmetsä, Helsinki","
				Kerrostalo, 1973
			","
				2h+k+et+kph-wc+lasitettu parveke
			","
145 000 €


","

145 000 €




80 m²



"
"Päivöläntie 72 F, Tapanila, Helsinki","
				Paritalo, 1996
			","
				3h+avok+s+ranskalainen parveke (Yj 3h+k+s)
			","
314 000 €


","

314 000 €




74 m²



"
"Mannerheimintie 89 A, Meilahti, Helsinki","
				Kerrostalo, 1951
			","
				2-3 h, avok, kph/wc, p (yj. 3 h+k)
			","
398 000 €


","

398 000 €




62,6 m²



"
"Svinhufvudintie 9 A, Kulosaari, Helsinki","
				Kerrostalo, 1961
			","
				3h,avok,kph,wc,lasitettu parveke (yhtiöjärj 3h+k)
			","
439 000 €


","

439 000 €




73 m²



"
"Varhelantie 7, Vesala, Helsinki","
				Kerrostalo, 1986
			","
				3h, k, rt, kph ja terassi
			","
160 000 €


","

160 000 €




74,5 m²



"
"Mannerheimintie 136, Meilahti, Helsinki","
				Kerrostalo, 1942
			","
				2h, kk, kph, erill.työtila
			","
338 000 €


","

338 000 €




50 m²



"
"Arabiankatu 6, Arabianranta, Helsinki","
				Kerrostalo, 2014
			","
				3h+avok+kph+s+vh+lasitettu parveke
			","
472 000 €


","

472 000 €




87 m²



"
"Arabiankatu 6 C, Arabianranta, Helsinki","
				Kerrostalo, 2014
			","
				2h, avok, kph, s, eteinen, lasitettu parveke
			","
398 000 €


","

398 000 €




58,5 m²



"
"Lehdokkipolku 6, Itäkeskus, Helsinki","
				Kerrostalo, 1984
			","
				3h, k, kph, lasitettu parveke
			","
178 000 €


","

178 000 €




73 m²



"
"Nahkahousuntie 1 B, Lauttasaari Vattuniemi, Helsinki","
				Kerrostalo, 2014
			","
				2h,kk,vh,kph,s,lasitettu  terassiparveke
			","
380 000 €


","

380 000 €




52,5 m²



"
"Kovelipolku 8, Hakuninmaa, Helsinki","
				Paritalo
			","
				3h, k, kph, s, wc, terassi, varasto
			","
348 000 €


","

348 000 €




67 m²



"
"Teollisuuskatu 20 A, Vallila, Helsinki","
				Kerrostalo, 2015
			","
				2h+kt+s+p
			","
309 000 €


","

309 000 €




40,5 m²



"
"Ruusankatu 2 A, Taka-Töölö, Helsinki","
				Kerrostalo, 1937
			","
				2h, avokeittiö, kph, eteinen
			","
322 000 €


","

322 000 €




40 m²



"
"Teollisuuskatu 26 B, Vallila, Helsinki","
				Kerrostalo, 2018
			","
				2h+kt+s+p
			","
368 000 €


","

368 000 €




51,5 m²



"
"Keulatie 33, Rastila, Helsinki","
				Rivitalo, 1991
			","
				3h, k, s/kph/wc, th, ask.h, khh, 2x erill. wc
			","
339 000 €


","

339 000 €




73 m²



"
"Helsinginkatu 4a B, Kallio, Helsinki","
				Kerrostalo, 1937
			","
				2 h+kk (yhtiöjärjestyksen mukaan)
			","
235 000 €


","

235 000 €




33 m²



"
"Saukonpaadenranta 20 B, Jätkäsaari Saukonpaadenranta, Helsinki","
				Kerrostalo, 2016
			","
				2h, kt, lasitettu terassi
			","
469 000 €


				Hoitovastike 193,5 €/kk
			
","

469 000 €


				Hoitovastike 193,5 €/kk
			


43 m²

				10 907 €/m²
			


6/7

				Kerros
			

"
"Itälahdenkatu 2, Lauttasaari, Helsinki","
				Kerrostalo, 1968
			","
				2H, AVOK, KPH, S, LASIT.PARV.
			","
325 000 €


","

325 000 €




42 m²



"
"Laurinniityntie 16, Lassila, Helsinki","
				Kerrostalo, 1984
			","
				2h+kk, vh, lasitettu parveke
			","
189 000 €


","

189 000 €




48 m²



"
"Eerikinkatu 29 A, Kamppi, Helsinki","
				Kerrostalo, 1929
			","
				2h, k, kph, alkovi (2h + alk + kk)
			","
375 000 €


","

375 000 €




63 m²



"
"Aurinkotuulenkatu 20 A, Aurinkolahti, Helsinki","
				Kerrostalo, 2006
			","
				3h,k,kph,s,wc, lasitettu parveke (yhtiöjärjestyksen mukaan 3h+k+s)
			","
349 000 €


","

349 000 €




77 m²



"
"Rusthollarinkuja 7 B, Puotila, Helsinki","
				Kerrostalo, 2000
			","
				2h+k+kph/s+ las. parveke (Yj:n mukaan 2h+k+s)
			","
229 000 €


","

229 000 €




58,5 m²



"
"Iso Roobertinkatu 44 C, Punavuori, Helsinki","
				Kerrostalo, 1907
			","
				2h, avokeittiö ja kph
			","
409 000 €


","

409 000 €




45,5 m²



"
"Pitsinvirkkaajankatu 5 A, Alppikylä, Helsinki","
				Rivitalo, 2019
			","
				3h+k+s+vh+varasto
			","
299 000 €


","

299 000 €




73,5 m²



"
"Kotikonnuntie 9 D, Kontula, Helsinki","
				Kerrostalo, 1966
			","
				3H+K+P
			","
189 750 €


","

189 750 €




69 m²



"
"Kivisaarentie 5 B, Vuosaari, Helsinki","
				Kerrostalo, 1965
			","
				3h+k
			","
195 000 €


","

195 000 €




73 m²



"
"Tuulensuunkuja 1, Hermanni, Helsinki","
				Kerrostalo, 2013
			","
				2h, kt, kph, las. parv
			","
278 000 €


","

278 000 €




41 m²



"
"Kaarlenkatu 13 B, Kallio, Helsinki","
				Kerrostalo, 1926
			","
				2 h, k, kph (yj:n mukaan 1 h+k+al+WC)
			","
265 000 €


","

265 000 €




40,7 m²



"
"Huvilakatu 9-11, Ullanlinna, Helsinki","
				Kerrostalo, 1961
			","
				2h, kt, kph, lasitettu parveke
			","
395 000 €


","

395 000 €




39 m²



"
"Kivipadontie 6 G, Oulunkylä, Helsinki","
				Kerrostalo, 1972
			","
				2h+kk+kph+p
			","
225 000 €


","

225 000 €




48,5 m²



"
"Portimopolku 6 A, Herttoniemi, Helsinki","
				Kerrostalo, 1954
			","
				2h+kk+kph+parveke (Yj:n mukaan 2h+kk)
			","
196 000 €


","

196 000 €




41 m²



"
"Aarteenetsijänkuja 10 C, Mellunkylä, Helsinki","
				Kerrostalo, 1987
			","
				2h+k+s+lasit.parveke
			","
136 900 €


","

136 900 €




60 m²



"
"Valpurintie 14 A, Meilahti, Helsinki","
				Kerrostalo, 1941
			","
				3h, k, erill.wc, kph, p
			","
610 000 €


","

610 000 €




89,5 m²



"
"Turumankatu 7 D19, Kruunuvuorenranta, Helsinki","
				Kerrostalo, 2024
			","
				2h+kt
			","
277 700 €


				Hoitovastike 294,8 €/kk
			
","

277 700 €


				Hoitovastike 294,8 €/kk
			


40,5 m²

				6 856,8 €/m²
			


5/8

				Kerros
			

"
"Sulkapolku 1 B34, Pitäjänmäki, Helsinki","
				Kerrostalo, 2022
			","
				3h+kt+s
			","
356 800 €


				Hoitovastike 405,4 €/kk
			
","

356 800 €


				Hoitovastike 405,4 €/kk
			


70,5 m²

				5 061 €/m²
			


3/5

				Kerros
			

"
"Vanhaistentie 1 e, Kannelmäki, Helsinki","
				Kerrostalo, 2022
			","
				3H+KT
			","
44 540 €


","

44 540 €




70,5 m²



"
"Ramsinniementie 14, Vuosaari, Helsinki","
				Kerrostalo, 2015
			","
				3h+kt+s
			","
47 226 €


","

47 226 €




82,5 m²



"
"Rosalankuja 6, Laajasalo, Helsinki","
				Kerrostalo, 2016
			","
				3h+kt+s
			","
47 888 €


","

47 888 €




78 m²



"
"Ramsinniementie 14, Vuosaari, Helsinki","
				Kerrostalo, 2015
			","
				3h+kt
			","
43 879 €


","

43 879 €




73 m²



"
"Taidemaalarinkatu 1, Kaarela, Helsinki","
				Kerrostalo, 2019
			","
				2h+kt+s
			","
36 928 €


","

36 928 €




49,5 m²



"
"Ramsinniementie 14, Vuosaari, Helsinki","
				Kerrostalo, 2015
			","
				3h+kt+s
			","
47 770 €


","

47 770 €




82,5 m²



"
"Pohjavedenkuja 3, Vuosaari, Helsinki","
				Kerrostalo, 1998
			","
				2H+KK+S
			","
15 397 €


","

15 397 €




41 m²



"
"Pyynikintie 5, Malmi, Helsinki","
				Kerrostalo, 1974
			","
				2h + p
			","

Kysy hintaa

","


Kysy hintaa



61,5 m²



"
"Liuskekuja 4 D, Pihlajamäki, Helsinki","
				Kerrostalo, 1987
			","
				3 h, k, wc, kh, s, p (yj 3H+K+S)
			","
178 000 €


","

178 000 €




73,5 m²



"
"Vänrikki Stoolin katu 10b A, Etu-Töölö, Helsinki","
				Kerrostalo, 1935
			","
				1h, alk, avok, kph (yj. 1 h)
			","
319 000 €


","

319 000 €




40,5 m²



"
"Jousimiehentie 10 O, Siltamäki, Helsinki","
				Kerrostalo, 1966
			","
				2 h + kk + kph + piha
			","
129 000 €


","

129 000 €




48,5 m²



"
"Itämerenkatu 2 A, Ruoholahti, Helsinki","
				Kerrostalo, 1993
			","
				3h+k+s
			","
468 000 €


","

468 000 €




82,5 m²



"
"Tuulensuuntori 3, Helsinki","
				Kerrostalo, 2012
			","
				3h + k + vh + kph + wc + s
			","
549 000 €


","

549 000 €




69,5 m²



"
"Lauttasaarenmäki 2, Lauttasaari, Helsinki","
				Kerrostalo, 2020
			","
				3h, avok, kph/s, lasitettu parveke
			","
555 000 €


","

555 000 €




69,5 m²



"
"Kauriintie 4 T, Siltamäki, Helsinki","
				Kerrostalo, 1972
			","
				2 h, k, kh/wc, piha (Yj. 2 h+k)
			","
168 000 €


","

168 000 €




62 m²



"
"Saniaiskuja 4, Tapanila, Helsinki","
				Kerrostalo, 1979
			","
				2h+k+kph+vh+p
			","
169 000 €


","

169 000 €




59 m²



"
"Rantakartanontie 1 A, Puotila, Helsinki","
				Kerrostalo, 1962
			","
				3-4h+k+kph+vh+las.parveke
			","
335 000 €


","

335 000 €




81 m²



"
"Rekipellontie 14 E, Vesala, Helsinki","
				Kerrostalo, 1991
			","
				3h+k+las.parveke+ransk.parveke
			","
195 000 €


","

195 000 €




75 m²



"
"Leiviskätie 9, Lassila, Helsinki","
				Kerrostalo, 1984
			","
				3h,k,s
			","
249 000 €


","

249 000 €




77,5 m²



"
"Kauriintie 5 F, Siltamäki, Helsinki","
				Kerrostalo, 1970
			","
				2h, k, wc, kph, vh, terassipiha
			","
125 000 €


","

125 000 €




62 m²



"
"Gustav Pauligin katu 4 a, Aurinkolahti, Helsinki","
				Kerrostalo, 2005
			","
				2h+kk+s
			","
229 000 €


","

229 000 €




53,5 m²



"
"Purpuripolku 7-9 E, Kannelmäki, Helsinki","
				Kerrostalo, 1976
			","
				2h+k (yhtiöjärjestyksen mukaan)
			","
169 000 €


","

169 000 €




56 m²



"
"Lavakatu 7, Pasila, Helsinki","
				Kerrostalo, 2022
			","
				3h+kt+s
			","
49 598 €


","

49 598 €




71,5 m²



"
"Tattarikatu 11, Alppikylä, Helsinki","
				Kerrostalo, 2010
			","
				3h+k+s+parvi
			","
43 575 €


","

43 575 €




114 m²



"
"Proviisorinraitti 5 A, Viikki, Helsinki","
				Kerrostalo, 2014
			","
				3h+avok+kph+s (yhtiöjärj. mukaan 3h+k+s)
			","
278 000 €


","

278 000 €




66 m²



"
"Vuorimiehenkatu 33 B, Ullanlinna, Helsinki","
				Kerrostalo, 1953
			","
				2h, k, kph/wc, vh, las.p
			","
495 000 €


","

495 000 €




64,2 m²



"
"Ilkantie 17 A, Haaga, Helsinki","
				Kerrostalo, 2005
			","
				2h, k, kph, lasitettu parveke 
			","
240 000 €


","

240 000 €




53 m²



"
"Kantelettarentie 4 E, Kannelmäki, Helsinki","
				Kerrostalo, 1964
			","
				3h+k+p
			","
285 000 €


","

285 000 €




65 m²



"
"Vilppulantie 2, Malmi, Helsinki","
				Kerrostalo, 1989
			","
				3h, k + s + p
			","
225 000 €


","

225 000 €




70 m²



"
"Lohkopellontie 3 A, Oulunkylä, Helsinki","
				Kerrostalo, 1976
			","
				3h+k+kph+khh+eril.wc.+las.parv.
			","
179 000 €


","

179 000 €




80,5 m²



"
"Töölönkatu 58, Taka-Töölö, Helsinki","
				Kerrostalo, 1937
			","
				2h, k, kph, erill.wc
			","
374 000 €


","

374 000 €




43,5 m²



"
"Vanha Tapanilantie 61, Tapaninkylä, Helsinki","
				Rivitalo, 1982
			","
				2h+k+s
			","
222 500 €


","

222 500 €




62 m²



"
"Hirsipadontie 1 E, Oulunkylä, Helsinki","
				Kerrostalo, 1972
			","
				2h+k+kph+p
			","
149 500 €


","

149 500 €




58 m²



"
"Mäntytie 25 A, Meilahti, Helsinki","
				Kerrostalo, 1965
			","
				2 h + kk
			","
245 000 €


","

245 000 €




40 m²



"
"Maskuntie 9 A, Ruskeasuo, Helsinki","
				Kerrostalo, 1952
			","
				2 h, avokeittiö, kph/wc, vaatehuone ja parveke
			","
258 000 €


				Hoitovastike 188,6 €/kk
			
","

258 000 €


				Hoitovastike 188,6 €/kk
			


41 m²

				6 292,7 €/m²
			


2/3

				Kerros
			

"
"Karmiinikuja 4 A, Kaarela/Kuninkaantammi, Helsinki","
				Kerrostalo, 2018
			","
				2h+k+s
			","
245 000 €


","

245 000 €




61 m²



"
"Metsäläntie 10, Pasila, Helsinki","
				Kerrostalo, 2024
			","
				3h+kt
			","
35 676 €


","

35 676 €




61,5 m²



"
"Ounasvaarantie 7, Mellunmäki, Helsinki","
				Kerrostalo, 1994
			","
				2H+K
			","
12 948 €


","

12 948 €




57 m²



"
"Pitkänsillanranta 13 A, Siltasaari, Helsinki","
				Kerrostalo, 1908
			","
				2h + k + kph
			","
775 000 €


","

775 000 €




82 m²



"
"Aurinkolahden puistotie 4 A, Aurinkolahti, Helsinki","
				Kerrostalo, 2005
			","
				3h, k, sauna, pesuhuone/wc, erillinen wc + lasitettu terassiparveke
			","
383 000 €


","

383 000 €




71,5 m²



"
"Notkotie 23 G, Malmi, Helsinki","
				Kerrostalo, 1989
			","
				2h, k, eril. wc, kph, s, lasit. parveke
			","
199 000 €


","

199 000 €




58,5 m²



"
"Hirsipadontie 7 K, Oulunkylä, Helsinki","
				Kerrostalo, 1972
			","
				3h+k+kph+eril.wc.+las.parv.
			","
299 000 €


","

299 000 €




80,5 m²



"
"Kanneltie 2, Kannelmäki, Helsinki","
				Kerrostalo, 1960
			","
				2h, kk, kph ja parveke
			","
168 000 €


","

168 000 €




43 m²



"
"Torivoudintie 12 A, Oulunkylä, Helsinki","
				Kerrostalo, 1980
			","
				3h+k+s+las.parv.
			","
199 000 €


","

199 000 €




68,5 m²



"
"Rantakiventie 3 D, Vuosaari, Helsinki","
				Rivitalo, 1989
			","
				3h+k+kph/s+wc+2 x las. parv. + et (Yj:n muk. 1h+k+wc 36,5 m2 pukuh+ask.h+ s/ph 35 m2)
			","
299 000 €


","

299 000 €




71,5 m²



"
"Koirasaarentie 37, Laajasalo, Helsinki","
				Kerrostalo, 2018
			","
				3h+kt+s
			","
52 258 €


","

52 258 €




79,5 m²



"
